Technology_ID,Technology_Name,Category,Primary_Use_Case,Technology_Readiness_1_9,Market_Potential_1_10,Strategic_Fit_1_10,Safety_Impact_1_10,Partnership_Potential_1_10,Financial_Attractiveness_1_10,Regulatory_Complexity_1_10,Risk_Level,Estimated_CAPEX_CAD,Annual_Operating_Cost_CAD,Estimated_Annual_Revenue_CAD,Estimated_Annual_Cost_Savings_CAD,Development_Months,Weighted_Opportunity_Score_1_10,Priority,Recommended_Action,Potential_Partners,Source_URL,Data_Note,Calculated_Opportunity_Score,Total_Annual_Benefit_CAD,Net_Annual_Benefit_CAD,First_Year_ROI_Pct,Payback_Period_Years,Three_Year_Net_Value_CAD,Three_Year_ROI_Pct
TECH-001,AI-Powered Visual Inspection,Artificial Intelligence,Detect and classify equipment defects from inspection images,7,9,10,9,8,9,7,Medium,400000,120000,550000,250000,12,8.85,High,Develop Proof of Concept,Nuclear utilities; universities; inspection teams,https://www.kinectrics.com/innovations/innovation-focus-areas,Hypothetical portfolio estimate for educational demonstration,8.85,800000,680000,170.0,0.5882352941176471,1640000,410.0
TECH-002,Robotic Inspection Tools,Robotics,Perform inspection and maintenance tasks in difficult or hazardous areas,7,9,10,10,8,8,8,Medium-High,850000,180000,800000,350000,18,8.95,High,Pilot with Industry Partner,Nuclear utilities; robotics vendors; research labs,https://www.kinectrics.com/capabilities/services/nuclear-equipment-development-supply/first-of-a-kind-robotics-development-testing,Hypothetical portfolio estimate for educational demonstration,8.95,1150000,970000,114.11764705882352,0.8762886597938144,2060000,242.35294117647055
TECH-003,Digital Twins and VR Training,Digital Technology,Support facility visualization training planning and remote collaboration,8,8,9,9,9,8,6,Medium,500000,140000,600000,200000,12,8.55,High,Scale Existing Capability,Utilities; colleges; VR developers,https://www.kinectrics.com/innovations/innovation-showcase,Hypothetical portfolio estimate for educational demonstration,8.55,800000,660000,132.0,0.7575757575757576,1480000,296.0
TECH-004,Additive Manufacturing,Advanced Manufacturing,Produce prototypes replacement components and specialized tooling,6,8,8,7,8,8,8,Medium-High,900000,220000,750000,180000,24,7.5,Medium,Develop through Partnership,Universities; manufacturers; materials laboratories,https://www.kinectrics.com/innovations/innovation-focus-areas,Hypothetical portfolio estimate for educational demonstration,7.5,930000,710000,78.88888888888889,1.267605633802817,1230000,136.66666666666666
TECH-005,Medical Isotope Production,Medical Isotopes,Produce stable isotope precursors used in cancer diagnosis and treatment,8,10,10,10,9,10,9,High,2500000,650000,2400000,150000,30,9.6,High,Prioritize Strategic Expansion,Hospitals; pharmaceutical companies; research reactors,https://www.kinectrics.com/media-center/news-releases/2025-kinectrics-significantly-increases-isotope-production,Hypothetical portfolio estimate for educational demonstration,9.6,2550000,1900000,76.0,1.3157894736842106,3200000,128.0
TECH-006,Drone-Based Facility Inspection,Drones,Collect visual and sensor data in large or difficult-to-access areas,7,8,8,9,8,8,7,Medium,350000,100000,450000,180000,10,8.05,High,Run Controlled Pilot,Drone vendors; utilities; computer vision teams,https://www.kinectrics.com/innovations/innovation-focus-areas,Hypothetical portfolio estimate for educational demonstration,8.05,630000,530000,151.42857142857142,0.660377358490566,1240000,354.2857142857143
TECH-007,Advanced Condition-Monitoring Sensors,Sensors,Monitor equipment condition and identify early signs of degradation,8,9,9,10,8,9,7,Medium,650000,160000,900000,400000,15,8.95,High,Develop Client Pilot,Sensor manufacturers; utilities; engineering teams,https://www.kinectrics.com/innovations/innovation-focus-areas,Hypothetical portfolio estimate for educational demonstration,8.95,1300000,1140000,175.3846153846154,0.5701754385964912,2770000,426.1538461538461
TECH-008,Nuclear Waste and Decommissioning Technology,Decommissioning,Improve characterization handling and management of nuclear waste,7,9,9,10,9,8,10,High,1600000,400000,1500000,300000,30,8.8,High,Pursue Consortium Project,Government; utilities; universities; waste specialists,https://www.kinectrics.com/innovations/innovation-focus-areas,Hypothetical portfolio estimate for educational demonstration,8.8,1800000,1400000,87.5,1.1428571428571428,2600000,162.5
TECH-009,Small Modular Reactor Services,Advanced Reactors,Provide testing engineering inspection and lifecycle services for SMR projects,5,10,9,9,10,8,10,High,3000000,700000,2800000,200000,36,8.6,Medium,Build Partnerships and Monitor,Reactor vendors; government; utilities; universities,https://aris.iaea.org/,Hypothetical portfolio estimate for educational demonstration,8.6,3000000,2300000,76.66666666666667,1.3043478260869563,3900000,130.0
TECH-010,Fusion and Tritium Systems,Fusion,Support tritium handling testing safety and fuel-cycle technology development,5,9,9,9,9,7,10,High,3500000,850000,2600000,100000,48,8.2,Medium,Continue Research Partnerships,Fusion developers; research agencies; universities,https://www.kinectrics.com/media-center/news-releases/2026-kinectrics-selected-as-design-fabrication-partner-for-ukaea-eni-tritium-loop-facility,Hypothetical portfolio estimate for educational demonstration,8.2,2700000,1850000,52.85714285714286,1.891891891891892,2050000,58.57142857142858
